FilterID,Fs,fc,N,Window,Method,FileName
fc150_N50_rectwin,48000,150,50,rectwin,manual_sinc,filt_fc150_N50_rectwin.mat
fc150_N50_rectwin,48000,150,50,rectwin,fir1,filt_fc150_N50_rectwin.mat
fc150_N50_hann,48000,150,50,hann,manual_sinc,filt_fc150_N50_hann.mat
fc150_N50_hann,48000,150,50,hann,fir1,filt_fc150_N50_hann.mat
fc150_N50_hamming,48000,150,50,hamming,manual_sinc,filt_fc150_N50_hamming.mat
fc150_N50_hamming,48000,150,50,hamming,fir1,filt_fc150_N50_hamming.mat
fc150_N50_blackman,48000,150,50,blackman,manual_sinc,filt_fc150_N50_blackman.mat
fc150_N50_blackman,48000,150,50,blackman,fir1,filt_fc150_N50_blackman.mat
fc150_N100_rectwin,48000,150,100,rectwin,manual_sinc,filt_fc150_N100_rectwin.mat
fc150_N100_rectwin,48000,150,100,rectwin,fir1,filt_fc150_N100_rectwin.mat
fc150_N100_hann,48000,150,100,hann,manual_sinc,filt_fc150_N100_hann.mat
fc150_N100_hann,48000,150,100,hann,fir1,filt_fc150_N100_hann.mat
fc150_N100_hamming,48000,150,100,hamming,manual_sinc,filt_fc150_N100_hamming.mat
fc150_N100_hamming,48000,150,100,hamming,fir1,filt_fc150_N100_hamming.mat
fc150_N100_blackman,48000,150,100,blackman,manual_sinc,filt_fc150_N100_blackman.mat
fc150_N100_blackman,48000,150,100,blackman,fir1,filt_fc150_N100_blackman.mat
fc150_N200_rectwin,48000,150,200,rectwin,manual_sinc,filt_fc150_N200_rectwin.mat
fc150_N200_rectwin,48000,150,200,rectwin,fir1,filt_fc150_N200_rectwin.mat
fc150_N200_hann,48000,150,200,hann,manual_sinc,filt_fc150_N200_hann.mat
fc150_N200_hann,48000,150,200,hann,fir1,filt_fc150_N200_hann.mat
fc150_N200_hamming,48000,150,200,hamming,manual_sinc,filt_fc150_N200_hamming.mat
fc150_N200_hamming,48000,150,200,hamming,fir1,filt_fc150_N200_hamming.mat
fc150_N200_blackman,48000,150,200,blackman,manual_sinc,filt_fc150_N200_blackman.mat
fc150_N200_blackman,48000,150,200,blackman,fir1,filt_fc150_N200_blackman.mat
fc150_N500_rectwin,48000,150,500,rectwin,manual_sinc,filt_fc150_N500_rectwin.mat
fc150_N500_rectwin,48000,150,500,rectwin,fir1,filt_fc150_N500_rectwin.mat
fc150_N500_hann,48000,150,500,hann,manual_sinc,filt_fc150_N500_hann.mat
fc150_N500_hann,48000,150,500,hann,fir1,filt_fc150_N500_hann.mat
fc150_N500_hamming,48000,150,500,hamming,manual_sinc,filt_fc150_N500_hamming.mat
fc150_N500_hamming,48000,150,500,hamming,fir1,filt_fc150_N500_hamming.mat
fc150_N500_blackman,48000,150,500,blackman,manual_sinc,filt_fc150_N500_blackman.mat
fc150_N500_blackman,48000,150,500,blackman,fir1,filt_fc150_N500_blackman.mat
fc150_N1000_rectwin,48000,150,1000,rectwin,manual_sinc,filt_fc150_N1000_rectwin.mat
fc150_N1000_rectwin,48000,150,1000,rectwin,fir1,filt_fc150_N1000_rectwin.mat
fc150_N1000_hann,48000,150,1000,hann,manual_sinc,filt_fc150_N1000_hann.mat
fc150_N1000_hann,48000,150,1000,hann,fir1,filt_fc150_N1000_hann.mat
fc150_N1000_hamming,48000,150,1000,hamming,manual_sinc,filt_fc150_N1000_hamming.mat
fc150_N1000_hamming,48000,150,1000,hamming,fir1,filt_fc150_N1000_hamming.mat
fc150_N1000_blackman,48000,150,1000,blackman,manual_sinc,filt_fc150_N1000_blackman.mat
fc150_N1000_blackman,48000,150,1000,blackman,fir1,filt_fc150_N1000_blackman.mat
fc150_N2000_rectwin,48000,150,2000,rectwin,manual_sinc,filt_fc150_N2000_rectwin.mat
fc150_N2000_rectwin,48000,150,2000,rectwin,fir1,filt_fc150_N2000_rectwin.mat
fc150_N2000_hann,48000,150,2000,hann,manual_sinc,filt_fc150_N2000_hann.mat
fc150_N2000_hann,48000,150,2000,hann,fir1,filt_fc150_N2000_hann.mat
fc150_N2000_hamming,48000,150,2000,hamming,manual_sinc,filt_fc150_N2000_hamming.mat
fc150_N2000_hamming,48000,150,2000,hamming,fir1,filt_fc150_N2000_hamming.mat
fc150_N2000_blackman,48000,150,2000,blackman,manual_sinc,filt_fc150_N2000_blackman.mat
fc150_N2000_blackman,48000,150,2000,blackman,fir1,filt_fc150_N2000_blackman.mat
fc200_N50_rectwin,48000,200,50,rectwin,manual_sinc,filt_fc200_N50_rectwin.mat
fc200_N50_rectwin,48000,200,50,rectwin,fir1,filt_fc200_N50_rectwin.mat
fc200_N50_hann,48000,200,50,hann,manual_sinc,filt_fc200_N50_hann.mat
fc200_N50_hann,48000,200,50,hann,fir1,filt_fc200_N50_hann.mat
fc200_N50_hamming,48000,200,50,hamming,manual_sinc,filt_fc200_N50_hamming.mat
fc200_N50_hamming,48000,200,50,hamming,fir1,filt_fc200_N50_hamming.mat
fc200_N50_blackman,48000,200,50,blackman,manual_sinc,filt_fc200_N50_blackman.mat
fc200_N50_blackman,48000,200,50,blackman,fir1,filt_fc200_N50_blackman.mat
fc200_N100_rectwin,48000,200,100,rectwin,manual_sinc,filt_fc200_N100_rectwin.mat
fc200_N100_rectwin,48000,200,100,rectwin,fir1,filt_fc200_N100_rectwin.mat
fc200_N100_hann,48000,200,100,hann,manual_sinc,filt_fc200_N100_hann.mat
fc200_N100_hann,48000,200,100,hann,fir1,filt_fc200_N100_hann.mat
fc200_N100_hamming,48000,200,100,hamming,manual_sinc,filt_fc200_N100_hamming.mat
fc200_N100_hamming,48000,200,100,hamming,fir1,filt_fc200_N100_hamming.mat
fc200_N100_blackman,48000,200,100,blackman,manual_sinc,filt_fc200_N100_blackman.mat
fc200_N100_blackman,48000,200,100,blackman,fir1,filt_fc200_N100_blackman.mat
fc200_N200_rectwin,48000,200,200,rectwin,manual_sinc,filt_fc200_N200_rectwin.mat
fc200_N200_rectwin,48000,200,200,rectwin,fir1,filt_fc200_N200_rectwin.mat
fc200_N200_hann,48000,200,200,hann,manual_sinc,filt_fc200_N200_hann.mat
