FilterID,Fs,fc,N,Window,Wn
fc150_N50_rectwin,48000,150,50,rectwin,0.00625
fc150_N50_hann,48000,150,50,hann,0.00625
fc150_N50_hamming,48000,150,50,hamming,0.00625
fc150_N50_blackman,48000,150,50,blackman,0.00625
fc150_N100_rectwin,48000,150,100,rectwin,0.00625
fc150_N100_hann,48000,150,100,hann,0.00625
fc150_N100_hamming,48000,150,100,hamming,0.00625
fc150_N100_blackman,48000,150,100,blackman,0.00625
fc150_N200_rectwin,48000,150,200,rectwin,0.00625
fc150_N200_hann,48000,150,200,hann,0.00625
fc150_N200_hamming,48000,150,200,hamming,0.00625
fc150_N200_blackman,48000,150,200,blackman,0.00625
fc150_N500_rectwin,48000,150,500,rectwin,0.00625
fc150_N500_hann,48000,150,500,hann,0.00625
fc150_N500_hamming,48000,150,500,hamming,0.00625
fc150_N500_blackman,48000,150,500,blackman,0.00625
fc150_N1000_rectwin,48000,150,1000,rectwin,0.00625
fc150_N1000_hann,48000,150,1000,hann,0.00625
fc150_N1000_hamming,48000,150,1000,hamming,0.00625
fc150_N1000_blackman,48000,150,1000,blackman,0.00625
fc150_N2000_rectwin,48000,150,2000,rectwin,0.00625
fc150_N2000_hann,48000,150,2000,hann,0.00625
fc150_N2000_hamming,48000,150,2000,hamming,0.00625
fc150_N2000_blackman,48000,150,2000,blackman,0.00625
fc200_N50_rectwin,48000,200,50,rectwin,0.00833333333333333
fc200_N50_hann,48000,200,50,hann,0.00833333333333333
fc200_N50_hamming,48000,200,50,hamming,0.00833333333333333
fc200_N50_blackman,48000,200,50,blackman,0.00833333333333333
fc200_N100_rectwin,48000,200,100,rectwin,0.00833333333333333
fc200_N100_hann,48000,200,100,hann,0.00833333333333333
fc200_N100_hamming,48000,200,100,hamming,0.00833333333333333
fc200_N100_blackman,48000,200,100,blackman,0.00833333333333333
fc200_N200_rectwin,48000,200,200,rectwin,0.00833333333333333
fc200_N200_hann,48000,200,200,hann,0.00833333333333333
fc200_N200_hamming,48000,200,200,hamming,0.00833333333333333
fc200_N200_blackman,48000,200,200,blackman,0.00833333333333333
fc200_N500_rectwin,48000,200,500,rectwin,0.00833333333333333
fc200_N500_hann,48000,200,500,hann,0.00833333333333333
fc200_N500_hamming,48000,200,500,hamming,0.00833333333333333
fc200_N500_blackman,48000,200,500,blackman,0.00833333333333333
fc200_N1000_rectwin,48000,200,1000,rectwin,0.00833333333333333
fc200_N1000_hann,48000,200,1000,hann,0.00833333333333333
fc200_N1000_hamming,48000,200,1000,hamming,0.00833333333333333
fc200_N1000_blackman,48000,200,1000,blackman,0.00833333333333333
fc200_N2000_rectwin,48000,200,2000,rectwin,0.00833333333333333
fc200_N2000_hann,48000,200,2000,hann,0.00833333333333333
fc200_N2000_hamming,48000,200,2000,hamming,0.00833333333333333
fc200_N2000_blackman,48000,200,2000,blackman,0.00833333333333333
fc250_N50_rectwin,48000,250,50,rectwin,0.0104166666666667
fc250_N50_hann,48000,250,50,hann,0.0104166666666667
fc250_N50_hamming,48000,250,50,hamming,0.0104166666666667
fc250_N50_blackman,48000,250,50,blackman,0.0104166666666667
fc250_N100_rectwin,48000,250,100,rectwin,0.0104166666666667
fc250_N100_hann,48000,250,100,hann,0.0104166666666667
fc250_N100_hamming,48000,250,100,hamming,0.0104166666666667
fc250_N100_blackman,48000,250,100,blackman,0.0104166666666667
fc250_N200_rectwin,48000,250,200,rectwin,0.0104166666666667
fc250_N200_hann,48000,250,200,hann,0.0104166666666667
fc250_N200_hamming,48000,250,200,hamming,0.0104166666666667
fc250_N200_blackman,48000,250,200,blackman,0.0104166666666667
fc250_N500_rectwin,48000,250,500,rectwin,0.0104166666666667
fc250_N500_hann,48000,250,500,hann,0.0104166666666667
fc250_N500_hamming,48000,250,500,hamming,0.0104166666666667
fc250_N500_blackman,48000,250,500,blackman,0.0104166666666667
fc250_N1000_rectwin,48000,250,1000,rectwin,0.0104166666666667
fc250_N1000_hann,48000,250,1000,hann,0.0104166666666667
fc250_N1000_hamming,48000,250,1000,hamming,0.0104166666666667
fc250_N1000_blackman,48000,250,1000,blackman,0.0104166666666667
fc250_N2000_rectwin,48000,250,2000,rectwin,0.0104166666666667
fc250_N2000_hann,48000,250,2000,hann,0.0104166666666667
fc250_N2000_hamming,48000,250,2000,hamming,0.0104166666666667
fc250_N2000_blackman,48000,250,2000,blackman,0.0104166666666667
