Clip,FilterID,fc,N,Window,Retention,Leakage
clip1_bass_drum,fc150_N1000_blackman,150,1000,blackman,0.625369552393368,0.0936232141795233
clip1_bass_drum,fc150_N1000_hamming,150,1000,hamming,0.685905433945423,0.0848520710954247
clip1_bass_drum,fc150_N1000_hann,150,1000,hann,0.680012774557079,0.0882799306469992
clip1_bass_drum,fc150_N1000_rectwin,150,1000,rectwin,0.759222044902083,0.0573163721737632
clip1_bass_drum,fc150_N100_blackman,150,100,blackman,0.947938153278246,0.761942512078455
clip1_bass_drum,fc150_N100_hamming,150,100,hamming,0.919571719445888,0.679049767927295
clip1_bass_drum,fc150_N100_hann,150,100,hann,0.933805917542588,0.717900908945039
clip1_bass_drum,fc150_N100_rectwin,150,100,rectwin,0.838535450424877,0.487968215025848
clip1_bass_drum,fc150_N2000_blackman,150,2000,blackman,0.778417299618956,0.07199148246536
clip1_bass_drum,fc150_N2000_hamming,150,2000,hamming,0.832180658006026,0.0655074260527715
clip1_bass_drum,fc150_N2000_hann,150,2000,hann,0.817840116065313,0.0670256159591326
clip1_bass_drum,fc150_N2000_rectwin,150,2000,rectwin,1.01903643121859,0.0562488842976501
clip1_bass_drum,fc150_N200_blackman,150,200,blackman,0.823422220908356,0.47176159338252
clip1_bass_drum,fc150_N200_hamming,150,200,hamming,0.748786172631661,0.354132441071212
clip1_bass_drum,fc150_N200_hann,150,200,hann,0.781823563912471,0.399733617492087
clip1_bass_drum,fc150_N200_rectwin,150,200,rectwin,0.555568483716399,0.1434399043698
clip1_bass_drum,fc150_N500_blackman,150,500,blackman,0.544748943138492,0.140451199326022
clip1_bass_drum,fc150_N500_hamming,150,500,hamming,0.531014706670746,0.111369037061615
clip1_bass_drum,fc150_N500_hann,150,500,hann,0.514278780629467,0.113304110965259
clip1_bass_drum,fc150_N500_rectwin,150,500,rectwin,0.742482877010895,0.0998282563835346
clip1_bass_drum,fc150_N50_blackman,150,50,blackman,0.986409152163775,0.906006143596005
clip1_bass_drum,fc150_N50_hamming,150,50,hamming,0.978368323402163,0.870619270892792
clip1_bass_drum,fc150_N50_hann,150,50,hann,0.982587341745914,0.88837858353398
clip1_bass_drum,fc150_N50_rectwin,150,50,rectwin,0.954591545995913,0.779953227279977
clip1_bass_drum,fc200_N1000_blackman,200,1000,blackman,0.87822925102445,0.0222570230047159
clip1_bass_drum,fc200_N1000_hamming,200,1000,hamming,0.942304366771033,0.0169734074928324
clip1_bass_drum,fc200_N1000_hann,200,1000,hann,0.927761640797556,0.018063484611387
clip1_bass_drum,fc200_N1000_rectwin,200,1000,rectwin,1.13388980585536,0.0121666847624226
clip1_bass_drum,fc200_N100_blackman,200,100,blackman,0.940146215379246,0.598720804143973
clip1_bass_drum,fc200_N100_hamming,200,100,hamming,0.90875947332342,0.48601630761321
clip1_bass_drum,fc200_N100_hann,200,100,hann,0.924189164096758,0.535975749511939
